Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,DATE
1/24/2017,4:45,918472,311172,108.24,149,10,0,100,1228,1/24/17 4:45
1/24/2017,4:50,918567,310690,108.4,149,10,0,100,1261,1/24/17 4:50
1/24/2017,4:55,918500,310054,108.6,149,10,0,100,1507,1/24/17 4:55
1/24/2017,5:00,918350,309448,108.78,149,10,0,100,1367,1/24/17 5:00
1/24/2017,5:05,918409,308925,108.95,148,10,0,100,1348,1/24/17 5:05
1/24/2017,5:10,918337,308394,109.12,149,10,0,100,1252,1/24/17 5:10
1/24/2017,5:15,918448,307874,109.3,148,10,0,100,1388,1/24/17 5:15
1/24/2017,5:20,918459,307263,109.5,149,10,0,100,1524,1/24/17 5:20
1/24/2017,5:25,918411,306673,109.69,149,10,0,100,1426,1/24/17 5:25
1/24/2017,5:30,918354,306011,109.9,149,10,0,100,1600,1/24/17 5:30
1/24/2017,5:35,918268,305427,110.08,149,10,0,100,1385,1/24/17 5:35
1/24/2017,5:40,918196,304763,110.29,149,10,0,100,1600,1/24/17 5:40
1/24/2017,5:45,918207,304186,110.48,149,10,0,100,1454,1/24/17 5:45
1/24/2017,5:50,918186,303551,110.69,149,10,0,100,1576,1/24/17 5:50
1/24/2017,5:55,918229,303163,110.82,149,10,0,100,1011,1/24/17 5:55
1/24/2017,6:00,918086,302523,111.01,149,10,0,100,1492,1/24/17 6:00
1/24/2017,6:05,918243,301943,111.22,149,10,0,100,1593,1/24/17 6:05
1/24/2017,6:10,918321,301169,111.49,149,10,0,100,2022,1/24/17 6:10
1/24/2017,6:15,918168,300571,111.67,149,10,0,100,1388,1/24/17 6:15
1/24/2017,6:20,918175,299958,111.87,149,10,0,100,1562,1/24/17 6:20
1/24/2017,6:25,917888,299208,112.09,149,11,0,100,1670,1/24/17 6:25
1/24/2017,6:30,917859,298693,112.26,149,11,0,100,1289,1/24/17 6:30
1/24/2017,6:35,917713,297986,112.48,148,11,0,100,1697,1/24/17 6:35
1/24/2017,6:40,917759,297335,112.71,149,11,0,100,1706,1/24/17 6:40
1/24/2017,6:45,917520,296632,112.92,149,11,0,100,1606,1/24/17 6:45
1/24/2017,6:50,917435,295994,113.12,149,11,0,100,1571,1/24/17 6:50
1/24/2017,6:55,917149,295325,113.32,149,11,0,100,1487,1/24/17 6:55
1/24/2017,7:00,916946,294575,113.55,149,11,0,100,1770,1/24/17 7:00
1/24/2017,7:05,916827,293919,113.76,149,11,0,100,1601,1/24/17 7:05
1/24/2017,7:10,916541,293176,113.98,149,12,0,100,1692,1/24/17 7:10
1/24/2017,7:15,916388,292531,114.19,149,12,0,100,1552,1/24/17 7:15
1/24/2017,7:20,916244,291948,114.37,149,12,0,100,1401,1/24/17 7:20
1/24/2017,7:25,915912,291097,114.63,149,12,0,100,1949,1/24/17 7:25
1/24/2017,7:30,915920,290446,114.85,148,12,0,100,1725,1/24/17 7:30
1/24/2017,7:35,915827,289708,115.1,149,12,0,100,1862,1/24/17 7:35
1/24/2017,7:40,915668,288986,115.33,149,12,0,100,1770,1/24/17 7:40
1/24/2017,7:45,915647,288215,115.59,149,12,0,100,2019,1/24/17 7:45
1/24/2017,7:50,915459,287377,115.86,149,12,0,100,2063,1/24/17 7:50
1/24/2017,7:55,915346,286585,116.13,149,12,0,100,2010,1/24/17 7:55
1/24/2017,8:00,915173,285748,116.4,149,12,0,100,2086,1/24/17 8:00
1/24/2017,8:05,915019,284953,116.66,148,13,0,100,2009,1/24/17 8:05
1/24/2017,8:10,914931,284226,116.91,149,13,0,100,1874,1/24/17 8:10
1/24/2017,8:15,914897,283503,117.16,149,13,0,100,1914,1/24/17 8:15
1/24/2017,8:25,813158,911861,-11.46,149,14,0,100,,1/24/17 8:25
1/24/2017,8:30,812361,908322,-11.17,149,14,0,100,2217,1/24/17 8:30
1/24/2017,8:35,812272,905150,-10.83,149,14,0,100,2584,1/24/17 8:35
1/24/2017,8:40,812300,901964,-10.47,148,13,0,100,2733,1/24/17 8:40
1/24/2017,8:45,812376,898632,-10.09,149,13,0,100,2893,1/24/17 8:45
1/24/2017,8:50,812174,894811,-9.69,149,13,0,100,3059,1/24/17 8:50
1/24/2017,8:55,812123,890821,-9.25,149,14,0,100,3359,1/24/17 8:55
1/24/2017,9:00,811938,886846,-8.82,149,14,0,100,3236,1/24/17 9:00
1/24/2017,9:05,811991,883083,-8.39,149,14,0,100,3292,1/24/17 9:05
1/24/2017,9:10,811817,879101,-7.96,149,14,0,100,3282,1/24/17 9:10
1/24/2017,9:15,811842,875266,-7.52,149,14,0,100,3357,1/24/17 9:15
1/24/2017,9:20,811802,871399,-7.08,148,14,0,100,3361,1/24/17 9:20
1/24/2017,9:25,811828,867587,-6.64,149,13,0,100,3367,1/24/17 9:25
1/24/2017,9:30,811840,863923,-6.22,149,13,0,100,3238,1/24/17 9:30
1/24/2017,9:35,811987,860233,-5.77,149,13,0,100,3401,1/24/17 9:35
1/24/2017,9:40,811890,856575,-5.36,149,13,0,100,3158,1/24/17 9:40
